GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ld3b-junit5-jacoco,com.domain,Cart,32,43,9,3,5,9,8,4,1,4
ld3b-junit5-jacoco,com.domain,Product,20,12,0,0,2,5,2,2,2,2
